true_idx,true_label,correct
693,n03873416,0.0
694,n03874293,0.0
695,n03874599,0.0
696,n03876231,0.0
697,n03877472,0.0
698,n03877845,0.0
699,n03884397,0.0
700,n03887697,0.0
701,n03888257,0.0
626,n03666591,0.0
702,n03888605,0.0
704,n03891332,0.0
705,n03895866,0.0
706,n03899768,0.0
707,n03902125,0.0
708,n03903868,0.0
709,n03908618,0.0
710,n03908714,0.0
711,n03916031,0.0
712,n03920288,0.0
713,n03924679,0.0
714,n03929660,0.0
715,n03929855,0.0
716,n03930313,0.0
703,n03891251,0.0
748,n04026417,0.0
625,n03662601,0.0
623,n03658185,0.0
533,n03207743,0.0
534,n03207941,0.0
535,n03208938,0.0
536,n03216828,0.0
537,n03218198,0.0
538,n03220513,0.0
539,n03223299,0.0
540,n03240683,0.0
541,n03249569,0.0
542,n03250847,0.0
543,n03255030,0.0
544,n03259280,0.0
545,n03271574,0.0
546,n03272010,0.0
547,n03272562,0.0
548,n03290653,0.0
549,n03291819,0.0
550,n03297495,0.0
551,n03314780,0.0
552,n03325584,0.0
553,n03337140,0.0
554,n03344393,0.0
555,n03345487,0.0
556,n03347037,0.0
557,n03355925,0.0
558,n03372029,0.0
559,n03376595,0.0
532,n03201208,0.0
560,n03379051,0.0
531,n03197337,0.0
529,n03188531,0.0
502,n03047690,0.0
503,n03062245,0.0
504,n03063599,0.0
505,n03063689,0.0
506,n03065424,0.0
507,n03075370,0.0
508,n03085013,0.0
509,n03089624,0.0
510,n03095699,0.0
511,n03100240,0.0
512,n03109150,0.0
513,n03110669,0.0
514,n03124043,0.0
515,n03124170,0.0
516,n03125729,0.0
517,n03126707,0.0
518,n03127747,0.0
519,n03127925,0.0
520,n03131574,0.0
521,n03133878,0.0
522,n03134739,0.0
523,n03141823,0.0
524,n03146219,0.0
525,n03160309,0.0
526,n03179701,0.0
527,n03180011,0.0
528,n03187595,0.0
530,n03196217,0.0
561,n03384352,0.0
562,n03388043,0.0
563,n03388183,0.0
596,n03498962,0.0
597,n03527444,0.0
598,n03529860,0.0
599,n03530642,0.0
600,n03532672,0.0
601,n03534580,0.0
602,n03535780,0.0
603,n03538406,0.0
604,n03544143,0.0
605,n03584254,0.0
606,n03584829,0.0
607,n03590841,0.0
608,n03594734,0.0
609,n03594945,0.0
610,n03595614,0.0
611,n03598930,0.0
612,n03599486,0.0
613,n03602883,0.0
614,n03617480,0.0
615,n03623198,0.0
616,n03627232,0.0
617,n03630383,0.0
618,n03633091,0.0
619,n03637318,0.0
620,n03642806,0.0
621,n03649909,0.0
622,n03657121,0.0
595,n03496892,0.0
594,n03495258,0.0
593,n03494278,0.0
592,n03492542,0.0
564,n03388549,0.0
565,n03393912,0.0
566,n03394916,0.0
567,n03400231,0.0
568,n03404251,0.0
569,n03417042,0.0
570,n03424325,0.0
571,n03425413,0.0
572,n03443371,0.0
573,n03444034,0.0
574,n03445777,0.0
575,n03445924,0.0
576,n03447447,0.0
624,n03661043,0.0
577,n03447721,0.0
579,n03452741,0.0
580,n03457902,0.0
581,n03459775,0.0
582,n03461385,0.0
583,n03467068,0.0
584,n03476684,0.0
585,n03476991,0.0
586,n03478589,0.0
587,n03481172,0.0
588,n03482405,0.0
589,n03483316,0.0
590,n03485407,0.0
591,n03485794,0.0
578,n03450230,0.0
501,n03045698,0.0
749,n04033901,0.0
751,n04037443,0.0
908,n04592741,0.0
909,n04596742,0.0
910,n04597913,0.0
911,n04599235,0.0
912,n04604644,0.0
913,n04606251,0.0
914,n04612504,0.0
915,n04613696,0.0
916,n06359193,0.0
917,n06596364,0.0
918,n06785654,0.0
919,n06794110,0.0
920,n06874185,0.0
921,n07248320,0.0
922,n07565083,0.0
923,n07579787,0.0
924,n07583066,0.0
925,n07584110,0.0
926,n07590611,0.0
927,n07613480,0.0
928,n07614500,0.0
929,n07615774,0.0
930,n07684084,0.0
931,n07693725,0.0
932,n07695742,0.0
933,n07697313,0.0
934,n07697537,0.0
907,n04591713,0.0
935,n07711569,0.0
906,n04591157,0.0
904,n04589890,0.0
877,n04501370,0.0
878,n04505470,0.0
879,n04507155,0.0
880,n04509417,0.0
881,n04515003,0.0
882,n04517823,0.0
883,n04522168,0.0
884,n04523525,0.0
885,n04525038,0.0
886,n04525305,0.0
887,n04532106,0.0
888,n04532670,0.0
889,n04536866,0.0
890,n04540053,0.0
891,n04542943,0.0
892,n04548280,0.0
893,n04548362,0.0
894,n04550184,0.0
895,n04552348,0.0
896,n04553703,0.0
897,n04554684,0.0
898,n04557648,0.0
899,n04560804,0.0
900,n04562935,0.0
901,n04579145,0.0
902,n04579432,0.0
903,n04584207,0.0
905,n04590129,0.0
936,n07714571,0.0
937,n07714990,0.0
938,n07715103,0.0
971,n09229709,0.0
972,n09246464,0.0
973,n09256479,0.0
974,n09288635,0.0
975,n09332890,0.0
976,n09399592,0.0
977,n09421951,0.0
978,n09428293,0.0
979,n09468604,0.0
980,n09472597,0.0
981,n09835506,0.0
982,n10148035,0.0
983,n10565667,0.0
984,n11879895,0.0
985,n11939491,0.0
986,n12057211,0.0
987,n12144580,0.0
988,n12267677,0.0
989,n12620546,0.0
990,n12768682,0.0
991,n12985857,0.0
992,n12998815,0.0
993,n13037406,0.0
994,n13040303,0.0
995,n13044778,0.0
996,n13052670,0.0
997,n13054560,0.0
970,n09193705,0.0
969,n07932039,0.0
968,n07930864,0.0
967,n07920052,0.0
939,n07716358,0.0
940,n07716906,0.0
941,n07717410,0.0
942,n07717556,0.0
943,n07718472,0.0
944,n07718747,0.0
945,n07720875,0.0
946,n07730033,0.0
947,n07734744,0.0
948,n07742313,0.0
949,n07745940,0.0
950,n07747607,0.0
951,n07749582,0.0
876,n04493381,0.0
952,n07753113,0.0
954,n07753592,0.0
955,n07754684,0.0
956,n07760859,0.0
957,n07768694,0.0
958,n07802026,0.0
959,n07831146,0.0
960,n07836838,0.0
961,n07860988,0.0
962,n07871810,0.0
963,n07873807,0.0
964,n07875152,0.0
965,n07880968,0.0
966,n07892512,0.0
953,n07753275,0.0
750,n04033995,0.0
875,n04487394,0.0
873,n04486054,0.0
783,n04153751,0.0
784,n04154565,0.0
785,n04162706,0.0
786,n04179913,0.0
787,n04192698,0.0
788,n04200800,0.0
789,n04201297,0.0
790,n04204238,0.0
791,n04204347,0.0
792,n04208210,0.0
793,n04209133,0.0
794,n04209239,0.0
795,n04228054,0.0
796,n04229816,0.0
797,n04235860,0.0
798,n04238763,0.0
799,n04239074,0.0
800,n04243546,0.0
801,n04251144,0.0
802,n04252077,0.0
803,n04252225,0.0
804,n04254120,0.0
805,n04254680,0.0
806,n04254777,0.0
807,n04258138,0.0
808,n04259630,0.0
809,n04263257,0.0
782,n04152593,0.0
810,n04264628,0.0
781,n04149813,0.0
779,n04146614,0.0
752,n04039381,0.0
753,n04040759,0.0
754,n04041544,0.0
755,n04044716,0.0
756,n04049303,0.0
757,n04065272,0.0
758,n04067472,0.0
759,n04069434,0.0
760,n04070727,0.0
761,n04074963,0.0
762,n04081281,0.0
763,n04086273,0.0
764,n04090263,0.0
765,n04099969,0.0
766,n04111531,0.0
767,n04116512,0.0
768,n04118538,0.0
769,n04118776,0.0
770,n04120489,0.0
771,n04125021,0.0
772,n04127249,0.0
773,n04131690,0.0
774,n04133789,0.0
775,n04136333,0.0
776,n04141076,0.0
777,n04141327,0.0
778,n04141975,0.0
780,n04147183,0.0
811,n04265275,0.0
812,n04266014,0.0
813,n04270147,0.0
846,n04380533,0.0
847,n04389033,0.0
848,n04392985,0.0
849,n04398044,0.0
850,n04399382,0.0
851,n04404412,0.0
852,n04409515,0.0
853,n04417672,0.0
854,n04418357,0.0
855,n04423845,0.0
856,n04428191,0.0
857,n04429376,0.0
858,n04435653,0.0
859,n04442312,0.0
860,n04443257,0.0
861,n04447861,0.0
862,n04456115,0.0
863,n04458633,0.0
864,n04461696,0.0
865,n04462240,0.0
866,n04465501,0.0
867,n04467665,0.0
868,n04476259,0.0
869,n04479046,0.0
870,n04482393,0.0
871,n04483307,0.0
872,n04485082,0.0
845,n04376876,0.0
844,n04372370,0.0
843,n04371774,0.0
842,n04371430,0.0
814,n04273569,0.0
815,n04275548,0.0
816,n04277352,0.0
817,n04285008,0.0
818,n04286575,0.0
819,n04296562,0.0
820,n04310018,0.0
821,n04311004,0.0
822,n04311174,0.0
823,n04317175,0.0
824,n04325704,0.0
825,n04326547,0.0
826,n04328186,0.0
874,n04487081,0.0
827,n04330267,0.0
829,n04335435,0.0
830,n04336792,0.0
831,n04344873,0.0
832,n04346328,0.0
833,n04347754,0.0
834,n04350905,0.0
835,n04355338,0.0
836,n04355933,0.0
837,n04356056,0.0
838,n04357314,0.0
839,n04366367,0.0
840,n04367480,0.0
841,n04370456,0.0
828,n04332243,0.0
500,n03042490,0.0
499,n03041632,0.0
498,n03032252,0.0
157,n02086910,0.0
158,n02087046,0.0
159,n02087394,0.0
160,n02088094,0.0
161,n02088238,0.0
162,n02088364,0.0
163,n02088466,0.0
164,n02088632,0.0
165,n02089078,0.0
166,n02089867,0.0
167,n02089973,0.0
168,n02090379,0.0
169,n02090622,0.0
170,n02090721,0.0
171,n02091032,0.0
172,n02091134,0.0
173,n02091244,0.0
174,n02091467,0.0
175,n02091635,0.0
176,n02091831,0.0
177,n02092002,0.0
178,n02092339,0.0
179,n02093256,0.0
180,n02093428,0.0
181,n02093647,0.0
182,n02093754,0.0
183,n02093859,0.0
156,n02086646,0.0
184,n02093991,0.0
155,n02086240,0.0
153,n02085936,0.0
126,n01990800,0.0
127,n02002556,0.0
128,n02002724,0.0
129,n02006656,0.0
130,n02007558,0.0
131,n02009229,0.0
132,n02009912,0.0
133,n02011460,0.0
134,n02012849,0.0
135,n02013706,0.0
136,n02017213,0.0
137,n02018207,0.0
138,n02018795,0.0
139,n02025239,0.0
140,n02027492,0.0
141,n02028035,0.0
142,n02033041,0.0
143,n02037110,0.0
144,n02051845,0.0
145,n02056570,0.0
146,n02058221,0.0
147,n02066245,0.0
148,n02071294,0.0
149,n02074367,0.0
150,n02077923,0.0
151,n02085620,0.0
152,n02085782,0.0
154,n02086079,0.0
185,n02094114,0.0
186,n02094258,0.0
187,n02094433,0.0
220,n02102480,0.0
221,n02102973,0.0
222,n02104029,0.0
223,n02104365,0.0
224,n02105056,0.0
225,n02105162,0.0
226,n02105251,0.0
227,n02105412,0.0
228,n02105505,0.0
229,n02105641,0.0
230,n02105855,0.0
231,n02106030,0.0
232,n02106166,0.0
233,n02106382,0.0
234,n02106550,0.0
235,n02106662,0.0
236,n02107142,0.0
237,n02107312,0.0
238,n02107574,0.0
239,n02107683,0.0
240,n02107908,0.0
241,n02108000,0.0
242,n02108089,0.0
243,n02108422,0.0
244,n02108551,0.0
245,n02108915,0.0
246,n02109047,0.0
219,n02102318,0.0
218,n02102177,0.0
217,n02102040,0.0
216,n02101556,0.0
188,n02095314,0.0
189,n02095570,0.0
190,n02095889,0.0
191,n02096051,0.0
192,n02096177,0.0
193,n02096294,0.0
194,n02096437,0.0
195,n02096585,0.0
196,n02097047,0.0
197,n02097130,0.0
198,n02097209,0.0
199,n02097298,0.0
200,n02097474,0.0
125,n01986214,0.0
201,n02097658,0.0
203,n02098286,0.0
204,n02098413,0.0
205,n02099267,0.0
206,n02099429,0.0
207,n02099601,0.0
208,n02099712,0.0
209,n02099849,0.0
210,n02100236,0.0
211,n02100583,0.0
212,n02100735,0.0
213,n02100877,0.0
214,n02101006,0.0
215,n02101388,0.0
202,n02098105,0.0
247,n02109525,0.0
124,n01985128,0.0
122,n01983481,0.0
32,n01644900,0.0
33,n01664065,0.0
34,n01665541,0.0
35,n01667114,0.0
36,n01667778,0.0
37,n01669191,0.0
38,n01675722,0.0
39,n01677366,0.0
40,n01682714,0.0
41,n01685808,0.0
42,n01687978,0.0
43,n01688243,0.0
44,n01689811,0.0
45,n01692333,0.0
46,n01693334,0.0
47,n01694178,0.0
48,n01695060,0.0
49,n01697457,0.0
50,n01698640,0.0
51,n01704323,0.0
52,n01728572,0.0
53,n01728920,0.0
54,n01729322,0.0
55,n01729977,0.0
56,n01734418,0.0
57,n01735189,0.0
58,n01737021,0.0
31,n01644373,0.0
59,n01739381,0.0
30,n01641577,0.0
28,n01632458,0.0
1,n01443537,0.0
2,n01484850,0.0
3,n01491361,0.0
4,n01494475,0.0
5,n01496331,0.0
6,n01498041,0.0
7,n01514668,0.0
8,n01514859,0.0
9,n01518878,0.0
10,n01530575,0.0
11,n01531178,0.0
12,n01532829,0.0
13,n01534433,0.0
14,n01537544,0.0
15,n01558993,0.0
16,n01560419,0.0
17,n01580077,0.0
18,n01582220,0.0
19,n01592084,0.0
20,n01601694,0.0
21,n01608432,0.0
22,n01614925,0.0
23,n01616318,0.0
24,n01622779,0.0
25,n01629819,0.0
26,n01630670,0.0
27,n01631663,0.0
29,n01632777,0.0
60,n01740131,0.0
61,n01742172,0.0
62,n01744401,0.0
95,n01843065,0.0
96,n01843383,0.0
97,n01847000,0.0
98,n01855032,0.0
99,n01855672,0.0
100,n01860187,0.0
101,n01871265,0.0
102,n01872401,0.0
103,n01873310,0.0
104,n01877812,0.0
105,n01882714,0.0
106,n01883070,0.0
107,n01910747,0.0
108,n01914609,0.0
109,n01917289,0.0
110,n01924916,0.0
111,n01930112,0.0
112,n01943899,0.0
113,n01944390,0.0
114,n01945685,0.0
115,n01950731,0.0
116,n01955084,0.0
117,n01968897,0.0
118,n01978287,0.0
119,n01978455,0.0
120,n01980166,0.0
121,n01981276,0.0
94,n01833805,0.0
93,n01829413,0.0
92,n01828970,0.0
91,n01824575,0.0
63,n01748264,0.0
64,n01749939,0.0
65,n01751748,0.0
66,n01753488,0.0
67,n01755581,0.0
68,n01756291,0.0
69,n01768244,0.0
70,n01770081,0.0
71,n01770393,0.0
72,n01773157,0.0
73,n01773549,0.0
74,n01773797,0.0
75,n01774384,0.0
123,n01984695,0.0
76,n01774750,0.0
78,n01776313,0.0
79,n01784675,0.0
80,n01795545,0.0
81,n01796340,0.0
82,n01797886,0.0
83,n01798484,0.0
84,n01806143,0.0
85,n01806567,0.0
86,n01807496,0.0
87,n01817953,0.0
88,n01818515,0.0
89,n01819313,0.0
90,n01820546,0.0
77,n01775062,0.0
248,n02109961,0.0
249,n02110063,0.0
250,n02110185,0.0
407,n02701002,0.0
408,n02704792,0.0
409,n02708093,0.0
410,n02727426,0.0
411,n02730930,0.0
412,n02747177,0.0
413,n02749479,0.0
414,n02769748,0.0
415,n02776631,0.0
416,n02777292,0.0
417,n02782093,0.0
418,n02783161,0.0
419,n02786058,0.0
420,n02787622,0.0
421,n02788148,0.0
422,n02790996,0.0
423,n02791124,0.0
424,n02791270,0.0
425,n02793495,0.0
426,n02794156,0.0
427,n02795169,0.0
428,n02797295,0.0
429,n02799071,0.0
430,n02802426,0.0
431,n02804414,0.0
432,n02804610,0.0
433,n02807133,0.0
406,n02699494,0.0
434,n02808304,0.0
405,n02692877,0.0
403,n02687172,0.0
376,n02489166,0.0
377,n02490219,0.0
378,n02492035,0.0
379,n02492660,0.0
380,n02493509,0.0
381,n02493793,0.0
382,n02494079,0.0
383,n02497673,0.0
384,n02500267,0.0
385,n02504013,0.0
386,n02504458,0.0
387,n02509815,0.0
388,n02510455,0.0
389,n02514041,0.0
390,n02526121,0.0
391,n02536864,0.0
392,n02606052,0.0
393,n02607072,0.0
394,n02640242,0.0
395,n02641379,0.0
396,n02643566,0.0
397,n02655020,0.0
398,n02666196,0.0
399,n02667093,0.0
400,n02669723,0.0
401,n02672831,0.0
402,n02676566,0.0
404,n02690373,0.0
435,n02808440,0.0
436,n02814533,0.0
437,n02814860,0.0
470,n02948072,0.0
471,n02950826,0.0
472,n02951358,0.0
473,n02951585,0.0
474,n02963159,0.0
475,n02965783,0.0
476,n02966193,0.0
477,n02966687,0.0
478,n02971356,0.0
479,n02974003,0.0
480,n02977058,0.0
481,n02978881,0.0
483,n02980441,0.0
484,n02981792,0.0
485,n02988304,0.0
486,n02992211,0.0
487,n02992529,0.0
488,n02999410,0.0
489,n03000134,0.0
490,n03000247,0.0
491,n03000684,0.0
492,n03014705,0.0
493,n03016953,0.0
494,n03017168,0.0
495,n03018349,0.0
496,n03026506,0.0
497,n03028079,0.0
469,n02939185,0.0
468,n02930766,0.0
467,n02927161,0.0
466,n02917067,0.0
438,n02815834,0.0
439,n02817516,0.0
440,n02823428,0.0
441,n02823750,0.0
442,n02825657,0.0
443,n02834397,0.0
444,n02835271,0.0
445,n02837789,0.0
446,n02840245,0.0
447,n02841315,0.0
448,n02843684,0.0
449,n02859443,0.0
450,n02860847,0.0
375,n02488702,0.0
451,n02865351,0.0
453,n02870880,0.0
454,n02871525,0.0
455,n02877765,0.0
456,n02879718,0.0
457,n02883205,0.0
458,n02892201,0.0
459,n02892767,0.0
460,n02894605,0.0
461,n02895154,0.0
462,n02906734,0.0
463,n02909870,0.0
464,n02910353,0.0
465,n02916936,0.0
452,n02869837,0.0
998,n13133613,0.0
374,n02488291,0.0
372,n02486410,0.0
282,n02123159,0.0
283,n02123394,0.0
284,n02123597,0.0
285,n02124075,0.0
286,n02125311,0.0
287,n02127052,0.0
288,n02128385,0.0
289,n02128757,0.0
290,n02128925,0.0
291,n02129165,0.0
292,n02129604,0.0
293,n02130308,0.0
294,n02132136,0.0
295,n02133161,0.0
296,n02134084,0.0
297,n02134418,0.0
298,n02137549,0.0
299,n02138441,0.0
300,n02165105,0.0
301,n02165456,0.0
302,n02167151,0.0
303,n02168699,0.0
304,n02169497,0.0
305,n02172182,0.0
306,n02174001,0.0
307,n02177972,0.0
308,n02190166,0.0
281,n02123045,0.0
309,n02206856,0.0
280,n02120505,0.0
278,n02119789,0.0
251,n02110341,0.0
252,n02110627,0.0
253,n02110806,0.0
254,n02110958,0.0
255,n02111129,0.0
256,n02111277,0.0
257,n02111500,0.0
258,n02111889,0.0
259,n02112018,0.0
260,n02112137,0.0
261,n02112350,0.0
262,n02112706,0.0
263,n02113023,0.0
264,n02113186,0.0
265,n02113624,0.0
266,n02113712,0.0
267,n02113799,0.0
268,n02113978,0.0
269,n02114367,0.0
270,n02114548,0.0
271,n02114712,0.0
272,n02114855,0.0
273,n02115641,0.0
274,n02115913,0.0
275,n02116738,0.0
276,n02117135,0.0
277,n02119022,0.0
279,n02120079,0.0
373,n02487347,0.0
310,n02219486,0.0
312,n02229544,0.0
345,n02403003,0.0
346,n02408429,0.0
347,n02410509,0.0
348,n02412080,0.0
349,n02415577,0.0
350,n02417914,0.0
351,n02422106,0.0
352,n02422699,0.0
353,n02423022,0.0
354,n02437312,0.0
355,n02437616,0.0
356,n02441942,0.0
357,n02442845,0.0
358,n02443114,0.0
359,n02443484,0.0
360,n02444819,0.0
361,n02445715,0.0
362,n02447366,0.0
363,n02454379,0.0
364,n02457408,0.0
365,n02480495,0.0
366,n02480855,0.0
367,n02481823,0.0
368,n02483362,0.0
369,n02483708,0.0
370,n02484975,0.0
371,n02486261,0.0
344,n02398521,0.0
311,n02226429,0.0
343,n02397096,0.0
341,n02395406,0.0
313,n02231487,0.0
314,n02233338,0.0
315,n02236044,0.0
316,n02256656,0.0
317,n02259212,0.0
318,n02264363,0.0
319,n02268443,0.0
320,n02268853,0.0
321,n02276258,0.0
322,n02277742,0.0
323,n02279972,0.0
324,n02280649,0.0
325,n02281406,0.0
326,n02281787,0.0
327,n02317335,0.0
328,n02319095,0.0
329,n02321529,0.0
330,n02325366,0.0
331,n02326432,0.0
332,n02328150,0.0
333,n02342885,0.0
334,n02346627,0.0
335,n02356798,0.0
336,n02361337,0.0
337,n02363005,0.0
338,n02364673,0.0
339,n02389026,0.0
340,n02391049,0.0
342,n02396427,0.0
999,n15075141,0.0
482,n02979186,0.96
